"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"0500000US01001","Autauga County, Alabama","5629","491","385","189","425","155","551","195","974","382","813","332","172","89","92","88","289","149","1113","258","815","255",
"0500000US01003","Baldwin County, Alabama","19948","1376","585","204","1645","414","2233","645","2885","724","1664","407","1823","431","1069","294","1910","539","3477","659","2657","485",
"0500000US01005","Barbour County, Alabama","3434","289","157","72","246","115","496","184","456","146","264","101","199","88","213","104","298","112","478","140","627","158",
"0500000US01007","Bibb County, Alabama","1503","307","95","84","199","105","20","32","206","127","90","64","18","22","20","33","218","192","321","179","316","162",
"0500000US01009","Blount County, Alabama","4435","517","229","102","342","119","545","228","417","154","333","157","236","91","232","104","300","148","751","243","1050","307",
"0500000US01011","Bullock County, Alabama","1199","245","38","30","2","4","86","72","209","233","52","54","53","68","59","72","47","57","346","173","307","103",
"0500000US01013","Butler County, Alabama","1803","230","114","68","125","61","224","91","80","36","186","92","120","53","104","60","91","71","327","123","432","102",
"0500000US01015","Calhoun County, Alabama","12854","798","745","205","1250","279","1690","386","1312","373","1245","261","852","254","695","252","860","232","2604","361","1601","327",
"0500000US01017","Chambers County, Alabama","4034","396","327","130","515","204","679","222","483","224","289","123","197","99","362","183","195","90","494","168","493","166",
"0500000US01019","Cherokee County, Alabama","2085","337","159","91","175","89","172","79","122","83","186","102","81","59","108","80","218","123","172","95","692","243",
"0500000US01021","Chilton County, Alabama","4341","451","404","213","422","179","577","270","680","263","443","192","188","104","137","93","165","110","644","223","681","184",
"0500000US01023","Choctaw County, Alabama","869","190","37","29","80","57","120","90","49","43","43","37","24","28","2","3","67","47","98","64","349","133",
"0500000US01025","Clarke County, Alabama","2267","282","161","103","310","124","121","66","41","36","118","85","158","125","93","67","181","116","280","101","804","231",
"0500000US01027","Clay County, Alabama","1268","219","63","52","91","59","118","78","213","109","161","78","161","99","70","44","15","18","127","68","249","88",
"0500000US01029","Cleburne County, Alabama","1276","193","35","27","50","39","169","77","138","81","121","95","131","95","64","43","79","56","103","61","386","130",
"0500000US01031","Coffee County, Alabama","6325","416","354","122","630","179","946","197","1128","275","691","213","223","82","338","109","290","116","1026","204","699","141",
"0500000US01033","Colbert County, Alabama","6317","552","201","79","557","182","608","181","748","238","702","230","472","193","349","138","613","230","951","270","1116","276",
"0500000US01035","Conecuh County, Alabama","899","186","29","31","34","26","12","16","184","162","271","135","18","21","0","20","87","78","54","53","210","97",
"0500000US01037","Coosa County, Alabama","742","158","99","76","24","21","36","23","73","72","42","36","49","42","101","77","19","18","22","16","277","84",
"0500000US01039","Covington County, Alabama","3615","385","187","111","218","89","354","89","249","89","247","77","363","132","157","66","160","81","811","177","869","226",
"0500000US01041","Crenshaw County, Alabama","1160","143","189","86","155","71","126","44","88","46","93","47","13","12","21","20","57","39","210","85","208","56",
"0500000US01043","Cullman County, Alabama","8369","573","273","144","909","311","1268","319","958","296","801","228","669","252","471","150","451","174","1299","258","1270","268",
"0500000US01045","Dale County, Alabama","7853","409","389","143","836","181","989","229","1194","217","701","214","698","189","337","113","488","137","1440","234","781","246",
"0500000US01047","Dallas County, Alabama","5645","560","232","125","380","144","327","179","544","198","506","165","367","134","498","216","382","145","1439","332","970","279",
"0500000US01049","DeKalb County, Alabama","6796","586","279","105","636","170","810","186","574","201","701","208","459","180","341","139","311","118","1311","314","1374","276",
"0500000US01051","Elmore County, Alabama","7707","770","418","199","1010","322","683","208","691","220","769","242","556","240","529","184","585","265","1607","402","859","256",
"0500000US01053","Escambia County, Alabama","4294","486","215","112","300","147","458","161","224","92","586","204","167","72","211","127","274","128","818","208","1041","296",
"0500000US01055","Etowah County, Alabama","10333","598","560","174","838","247","1354","299","937","223","990","255","676","184","411","183","1013","277","2144","323","1410","240",
"0500000US01057","Fayette County, Alabama","1548","202","56","37","262","143","206","100","135","75","99","63","186","97","44","36","59","43","271","122","230","89",
"0500000US01059","Franklin County, Alabama","3232","474","232","118","455","162","455","173","422","177","160","64","53","49","200","107","271","150","315","147","669","209",
"0500000US01061","Geneva County, Alabama","2684","336","98","63","151","54","234","112","234","131","406","147","76","68","56","42","169","86","626","192","634","192",
"0500000US01063","Greene County, Alabama","874","252","13","19","18","36","66","75","3","5","98","93","82","113","81","61","21","26","177","170","315","154",
"0500000US01065","Hale County, Alabama","1130","238","13","19","95","83","65","43","55","46","70","46","61","50","224","172","74","51","123","64","350","119",
"0500000US01067","Henry County, Alabama","1017","198","50","40","118","73","109","60","58","39","124","77","118","68","30","39","68","44","225","117","117","43",
"0500000US01069","Houston County, Alabama","14170","436","721","103","1817","244","1705","195","1629","187","1195","130","1029","192","735","81","1010","152","3004","243","1325","168",
