OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
2,04019002100,04,019,002100,,,48,5.82999992,8498444.62890625,14727.1912023633
7,04017965202,04,017,965202,,,11,2.44000006,11523707.1523438,14188.9508697837
8,04019000700,04,019,000700,,,38,3.16000009,4511147.00390625,10634.9296906248
9,04021000315,04,021,000315,,,14,1.72000003,7330431.7265625,13945.4236263762
11,04019002000,04,019,002000,,,15,2.25,6791046.04296875,12701.8518010738
12,04019003503,04,019,003503,,,61,6.61999989,2318986.1640625,7763.77770385901
15,04019002503,04,019,002503,,,27,4.32000017,3894418.37890625,8534.29697754405
16,04019002504,04,019,002504,,,46,8.42000008,2939758.08203125,7697.65635553851
17,04019002505,04,019,002505,,,95,8.52000046,3492048.75390625,8371.22100508853
18,04019002604,04,019,002604,,,89,5.9000001,3461539.5703125,9051.25790720061
19,04019002602,04,019,002602,,,62,3.1500001,2939854.9765625,8205.37886211898
27,04019004412,04,019,004412,,,14,3.30999994,9304713.34375,13257.6366641783
28,04013082210,04,013,082210,,,11,2.32999992,3158363.31640625,8591.39822062256
30,04019004116,04,019,004116,,,43,13.39999962,1777087.4296875,6203.28055006936
31,04019004036,04,019,004036,,,20,5.8499999,1770623.05859375,5662.37497953668
38,04013092311,04,013,092311,,,27,2.48000002,934473.43359375,4826.86862419469
48,04013082204,04,013,082204,,,33,6.71999979,13756722.25,18252.3013836515
49,04013082206,04,013,082206,,,13,4.69000006,9826057.13671875,13945.9755619151
53,04019004037,04,019,004037,,,13,3.00999999,1823888.44140625,5718.11112364536
55,04019000800,04,019,000800,,,14,2.74000001,4474250.87109375,10670.3185888883
57,04013616600,04,013,616600,,,13,2.79999995,3672613.49609375,7579.59233617754
60,04013617400,04,013,617400,,,27,3.23000002,9973245.4375,16888.7422328724
63,04019004117,04,019,004117,,,140,13.22000027,6671434.73046875,15358.6209795958
64,04019002201,04,019,002201,,,25,4.63999987,4745594.6640625,10107.4310105589
73,04015950706,04,015,950706,,,18,2.95000005,4351511.015625,10903.9281766132
85,04013422638,04,013,422638,,,62,5.88999987,3850521.4921875,8125.69152789077
87,04013106002,04,013,106002,,,118,12.28999996,1360732.7890625,4739.50945187769
88,04013106003,04,013,106003,,,38,5.26999998,1358320.44140625,4753.89092199035
90,04013106701,04,013,106701,,,83,4.80999994,914394.46875,3825.69017723463
92,04013107601,04,013,107601,,,43,3.8599999,1890296.4609375,5826.25919214985
101,04013092801,04,013,092801,,,36,2.83999991,1812808.49609375,5690.16844697499
112,04013618600,04,013,618600,,,25,2.6400001,3321157.80078125,7319.25300266832
113,04013618800,04,013,618800,,,36,2.16000009,1820034.359375,5698.57036100612
115,04013112510,04,013,112510,,,25,7.03999996,14815789.8007813,15433.8664113042
118,04013812100,04,013,812100,,,16,1.63999999,6271143.44140625,13443.2451172969
122,04013812600,04,013,812600,,,12,0.92000002,5536186.125,10072.1452273647
123,04013812700,04,013,812700,,,14,1.46000004,4136093.3828125,8661.43685816603
125,04013104402,04,013,104402,,,15,1.59000003,3728605.22265625,7733.41545682905
127,04013104702,04,013,104702,,,52,4.36999989,2093749.0703125,6787.3167640331
140,04013421102,04,013,421102,,,45,3.3599999,3797151.91015625,7925.05901758392
141,04013814400,04,013,814400,,,18,2.75999999,3648633.09765625,7645.20840993181
147,04013109001,04,013,109001,,,74,4.92999983,938038.89453125,4857.15693336387
148,04013109003,04,013,109003,,,116,6.9000001,1394738.91796875,4808.03474477943
149,04013109102,04,013,109102,,,57,7.13000011,1847452.43359375,5780.20895938417
150,04013110501,04,013,110501,,,54,2.3900001,2039165.19140625,5993.08784289588
154,04013421802,04,013,421802,,,14,2.1400001,1845297.48828125,5743.19783511222
155,04013421902,04,013,421902,,,27,2.3900001,1890820.4609375,5849.26557522597
156,04013105800,04,013,105800,,,18,3.96000004,3759509.06640625,7767.91395355763
158,04013105900,04,013,105900,,,62,5.80999994,3756542.5,7754.41034192121
159,04013106100,04,013,106100,,,23,1.73000002,3687498.01171875,7684.21196975746
162,04013110002,04,013,110002,,,16,3.23000002,1698821.265625,5660.27432841604
169,04013071509,04,013,071509,,,18,1.92999995,6934354.95703125,10990.2739246749
172,04013082012,04,013,082012,,,39,5.53999996,4211435.03125,8352.77712671192
177,04013112514,04,013,112514,,,33,8.09000015,28792693.1835938,24912.2065851718
179,04013619300,04,013,619300,,,20,2.3900001,1895376.21875,5846.19364139483
180,04013619400,04,013,619400,,,20,1.66999996,1873847.00390625,5810.69007279288
185,04013110901,04,013,110901,,,163,15.11999989,1914588.93359375,5880.30266807759
187,04013117000,04,013,117000,,,35,2.4000001,2787567.91796875,6753.86145055288
194,04013422623,04,013,422623,,,23,2,7324899.390625,11525.7712346368
198,04013113701,04,013,113701,,,44,1.95000005,1809562.12890625,5755.32983451268
203,04013110100,04,013,110100,,,11,1.05999994,3734180.75,7725.43025200616
204,04013110400,04,013,110400,,,16,1.23000002,3599447.20703125,7587.8166605559
205,04013110600,04,013,110600,,,35,2.47000003,3757363.515625,7757.60823854833
216,04013109707,04,013,109707,,,15,0.99000001,958877.94921875,3906.11607097196
223,04013082213,04,013,082213,,,22,5.28000021,3705972.34765625,7694.14407183163
225,04013107401,04,013,107401,,,15,2.67000008,1884721.9765625,5817.27910779711
226,04013107402,04,013,107402,,,31,6.86999989,467084.29296875,2893.61732138488
227,04013110701,04,013,110701,,,19,2.48000002,1295361.18359375,5458.06869805138
228,04013110702,04,013,110702,,,13,1.59000003,2468046.82421875,6411.74742594916
231,04013421302,04,013,421302,,,66,4.28999996,3594131.4453125,7570.25583808688
232,04013092309,04,013,092309,,,14,3.05999994,3689029.046875,7682.79032722255
233,04013092500,04,013,092500,,,36,3.50999999,3798500.390625,7777.43407297777
235,04013092307,04,013,092307,,,29,3.07999992,3705373.12109375,7702.60727063419
236,04013092308,04,013,092308,,,25,2.70000005,3690011.609375,7681.6320937746
237,04013092600,04,013,092600,,,44,7.17999983,3627472.5390625,7611.5363513128
242,04027000403,04,027,000403,,,13,5.23999977,1130399.79296875,4432.10576425299
244,04013071906,04,013,071906,,,13,1.76999998,4666062.421875,9070.41021677148
245,04013092705,04,013,092705,,,54,7.38000011,3742667.0859375,7736.38067595692
246,04013092708,04,013,092708,,,16,4.26999998,3762289.40625,7751.24086326494
